model,target,step,train_loss,validation_loss,validation_score,training_objective_loss,activity_train_loss,activity_validation_loss,domain_train_loss,domain_train_accuracy,domain_validation_loss,domain_validation_accuracy
realmlp,kpx_group_1,12,0.5827852879699907,0.5064095854759216,0.6196904182434082,,,,,,,
realmlp,kpx_group_2,12,0.5622510455156627,0.45855018496513367,0.6455097794532776,,,,,,,
realmlp,kpx_group_3,12,0.6278918071797019,0.5952631235122681,0.552304208278656,,,,,,,
realmlp,all,13,0.5812510071616424,0.5097479224205017,0.6118549704551697,1.3142270477194535,0.3106423377206451,0.4128366708755493,0.6863796954092226,0.4966591282894737,0.6745999455451965,0.7042124271392822
realmlp,kpx_group_1,13,0.5743706485158518,0.4941765069961548,0.6281173229217529,,,,,,,
realmlp,kpx_group_2,13,0.55318383872509,0.4521346092224121,0.6484507322311401,,,,,,,
realmlp,kpx_group_3,13,0.6161985365968001,0.5829327702522278,0.5589966773986816,,,,,,,
realmlp,all,14,0.5803421359313162,0.5134359002113342,0.6111065745353699,1.312982910557797,0.310416778451518,0.4106617867946625,0.6860782598194323,0.5005396792763158,0.6749151945114136,0.7032967209815979
realmlp,kpx_group_1,14,0.5758060726680254,0.5043748021125793,0.6230103373527527,,,,,,,
realmlp,kpx_group_2,14,0.5523090691942918,0.452744722366333,0.6505100727081299,,,,,,,
realmlp,kpx_group_3,14,0.6129112651473597,0.5831882357597351,0.559799313545227,,,,,,,
realmlp,all,15,0.5791219810121938,0.5005422830581665,0.6192846298217773,1.3122357286904986,0.31102508463357625,0.41068634390830994,0.6864599758072903,0.4945325349506579,0.6721633672714233,0.7078754305839539
realmlp,kpx_group_1,15,0.5736560100003293,0.47351714968681335,0.6436766386032104,,,,,,,
realmlp,kpx_group_2,15,0.5516174263075778,0.45201149582862854,0.6483755111694336,,,,,,,
realmlp,kpx_group_3,15,0.6120925184927488,0.5760983228683472,0.565801739692688,,,,,,,
realmlp,all,16,0.5812522980727648,0.5236589908599854,0.6029791831970215,1.314170213122117,0.3109795368815723,0.40935495495796204,0.6862709820270538,0.4901380037006579,0.6650816798210144,0.7417582273483276
realmlp,kpx_group_1,16,0.5750745017277566,0.5293485522270203,0.6039979457855225,,,,,,,
realmlp,kpx_group_2,16,0.55131318302531,0.4515705704689026,0.647914469242096,,,,,,,
realmlp,kpx_group_3,16,0.6173692141708574,0.590057909488678,0.5570251941680908,,,,,,,
realmlp,all,17,0.5862076266815788,0.5020766854286194,0.6172266602516174,1.3170537336876518,0.31209917288077504,0.39473018050193787,0.6840312331914902,0.5009765625,0.6729058623313904,0.7165750861167908
realmlp,kpx_group_1,17,0.5803228789254239,0.473268061876297,0.643718957901001,,,,,,,
realmlp,kpx_group_2,17,0.5524523218995646,0.4469448924064636,0.6504335403442383,,,,,,,
realmlp,kpx_group_3,17,0.6258476690242165,0.5860170722007751,0.5575273633003235,,,,,,,
realmlp,all,18,0.5885614580229709,0.5362725853919983,0.5926024317741394,1.3211240533151125,0.31566180445645986,0.4147888720035553,0.6852133376033682,0.4943590666118421,0.669522762298584,0.721611738204956
realmlp,kpx_group_1,18,0.5846865490863198,0.5365481376647949,0.5998749732971191,,,,,,,
realmlp,kpx_group_2,18,0.5555184075706884,0.46490591764450073,0.6333500146865845,,,,,,,
